FORGAP	FDR	file:	start	day	134			
9								
timesteps								
RelHum								
Temp								
Wind								
Press								
Cloud								
Rain								
dayno								
time								
325	92.6	27.92	0.415	1005	0.68	4.8	160	13
326	87.4	29.44	0.453	1004	0.91	4.4	160	14
327	81.4	29.85	0.439	1003	0.93	0	160	15
328	97.2	26.06	0.46	1003	0.33	0	160	16
329	99.1	25.52	0.308	1003	0.12	0	160	17
330	99.2	25.13	0.194113	1004	0.83	1.4	160	18
331	99.3	24.77	0.172477	1005	0	0	160	19
332	99.4	24.72	0.169472	1006	0	0	160	20
333	99.6	24.77	0.172477	1006	0	0.2	160	21
334	99.6	24.71	0.168871	1007	0	0	160	22
335	99.6	24.51	0.156851	1007	0	0	160	23
336	99.6	24.3	0.14423	1006	0	0	161	0
337	99.7	24.16	0.135816	1006	0	0	161	1
338	99.7	24.17	0.136417	1006	0	0.6	161	2
339	99.8	24.16	0.135816	1005	0	0.2	161	3
340	99.8	24.19	0.137619	1005	0	0	161	4
341	99.8	24.37	0.148437	1005	0	0.2	161	5
342	99.8	24.45	0.153245	1006	0	0	161	6
343	99.8	24.84	0.176684	1007	1	0	161	7
344	99.8	25.29	0.203729	1007	0.7	0	161	8
345	99.4	25.93	0.242193	1008	0.52	0	161	9
346	97	27.16	0.316116	1008	0.47	0	161	10
347	88.2	29	0.4267	1007	0.61	0	161	11
348	81.2	30.77	0.533077	1005	0.75	0	161	12
349	97.6	27.69	0.347969	1005	0.74	0	161	13
350	96.8	27.77	0.352777	1003	0.79	0	161	14
351	85.4	29.6	0.46276	1003	0.74	0	161	15
352	90.3	28.55	0.399655	1003	0.68	0	161	16
353	98.3	25.73	0.230173	1003	0.59	0	161	17
354	99.2	25.42	0.211542	1004	0.76	0	161	18
355	99.3	25.27	0.202527	1005	0	0	161	19
356	99.4	25.28	0.203128	1006	0	0	161	20
357	99.4	25.42	0.211542	1007	0	0	161	21
358	99.5	25.29	0.203729	1007	0	0	161	22
359	99.5	25.3	0.20433	1007	0	0	161	23
360	99.6	25.24	0.200724	1007	0	0	162	0
361	99.6	25.16	0.195916	1006	0	0	162	1
362	99.6	25.17	0.196517	1006	0	0	162	2
363	99.6	25.19	0.197719	1005	0	0	162	3
364	99.7	25.02	0.187502	1006	0	0	162	4
365	99.7	24.92	0.181492	1005	0	0	162	5
366	99.7	24.7	0.16827	1005	0	0	162	6
367	99.6	25.48	0.215148	1006	1	0	162	7
368	91.9	26.94	0.302894	1006	0.82	0	162	8
369	89.3	28.12	0.373812	1006	0.65	0	162	9
370	77.8	29.67	0.466967	1006	0.68	0	162	10
371	87.4	29.67	0.466967	1006	0.71	0	162	11
372	71	31.15	0.555915	1005	0.75	0	162	12
373	65.29	31.82	0.596182	1004	0.74	0	162	13
374	67.62	32.17	0.617217	1003	0.79	0	162	14
375	62.33	32.9	0.66109	1002	0.74	0	162	15
376	64.81	32.84	0.657484	1001	0.68	0	162	16
377	73.8	30.24	0.501224	1002	0.59	0	162	17
378	85.2	27.98	0.365398	1002	0.76	0	162	18
379	91.5	26.86	0.298086	1004	0	0	162	19
380	95.5	26.42	0.271642	1005	0	0	162	20
381	97.3	25.95	0.243395	1006	0	0	162	21
382	98.1	25.54	0.218754	1007	0	0	162	22
383	98.7	25.19	0.197719	1007	0	0	162	23
384	98.8	25.2	0.19832	1006	0	0	163	0
385	98.7	24.9	0.18029	1006	0	0	163	1
386	98.8	24.84	0.176684	1005	0	0	163	2
387	98.6	24.76	0.171876	1005	0	0	163	3
388	99	24.41	0.150841	1005	0	0	163	4
389	99.2	24.43	0.152043	1006	0	0	163	5
390	99.3	24.56	0.159856	1007	0	0	163	6
391	99	25.23	0.200123	1007	1	0	163	7
392	93.8	26.86	0.298086	1007	0.82	0	163	8
393	92.6	27.31	0.325131	1007	0.65	0	163	9
394	81.4	28.74	0.411074	1007	0.68	0	163	10
395	83.5	29.46	0.454346	1006	0.71	0	163	11
396	64.97	31.6	0.58296	1004	0.75	0	163	12
397	98.8	27.19	0.317919	1004	0.74	0	163	13
398	96.8	27.2	0.31852	1003	0.79	0	163	14
399	87.1	28.67	0.406867	1002	0.74	0	163	15
400	94.1	27.55	0.339555	1002	0.68	0	163	16
401	96.5	27.09	0.311909	1002	0.59	0	163	17
402	97.4	26.41	0.271041	1003	0.76	0	163	18
403	98.7	25.98	0.245198	1005	0	0	163	19
404	98.9	25.75	0.231375	1006	0	0	163	20
405	98.9	24.5	0.15625	1007	0	0	163	21
406	99.4	24.38	0.149038	1007	0	0	163	22
407	99.5	24.3	0.14423	1006	0	0	163	23
408	99.7	24.33	0.146033	1007	0	0	164	0
409	99.6	24.3	0.14423	1006	0	0	164	1
410	99.8	24.44	0.152644	1006	0	0	164	2
411	99.7	24.37	0.148437	1005	0	0	164	3
412	99.8	24.47	0.154447	1005	0	0	164	4
413	99.8	24.36	0.147836	1006	0	0	164	5
414	99.8	24.31	0.144831	1006	0	0	164	6
415	99.8	25.13	0.194113	1006	1	0	164	7
416	98.7	26.43	0.272243	1007	0.82	0	164	8
417	81.5	29.01	0.427301	1006	0.65	0	164	9
418	74.2	30.15	0.495815	1006	0.68	0	164	10
419	89.4	28.75	0.411675	1006	0.71	0	164	11
420	97	27.27	0.322727	1005	0.75	0	164	12
421	94.8	28.38	0.389438	1004	0.74	0	164	13
422	94.6	27.35	0.327535	1003	0.79	0	164	14
423	85.3	28.77	0.412877	1002	0.74	0	164	15
424	80.8	30.4	0.51084	1001	0.68	0	164	16
425	93	28.24	0.086	1002	0.91	0	164	17
426	97.8	27.08	0.223	1002	0.87	0	164	18
427	98.5	26.56	0.006	1003	0	0	164	19
428	99	26.32	0.012	1004	0	2	164	20
429	98.9	25.85	0.054	1006	0	0.2	164	21
430	99	25.79	0.054	1006	0	0	164	22
431	99.2	25.43	0.146	1006	0	21	164	23
432	99.4	25.29	0.017	1006	0	0	165	0
433	99.4	25.33	0.002	1005	0	0	165	1
434	99.4	24.7	0.301	1004	0	0	165	2
435	99.6	24.65	0.088	1005	0	0	165	3
436	99.7	24.68	0.023	1005	0	0	165	4
437	99.6	24.64	0.007	1005	0	0	165	5
438	99.7	24.66	0	1005	0	0	165	6
439	99.8	25.63	0	1006	1	0	165	7
440	99.2	25.97	0.088	1006	1	0.2	165	8
441	97	27.07	0.239	1007	0.56	0	165	9
